site_name,resolution,scalar,cells,particles,run_n,run_time
SJER,1,4,293592,1174368,1,174.04424238204956
SJER,1,4,293592,1174368,2,167.38732290267944
SJER,1,4,293592,1174368,3,179.3965289592743
SJER,1,4,293592,1174368,4,170.03511309623718
SJER,1,4,293592,1174368,5,164.36234307289124
SJER,1,4,293592,1174368,6,158.61427545547485
SJER,1,4,293592,1174368,7,158.94296383857727
SJER,1,4,293592,1174368,8,160.2629930973053
SJER,1,4,293592,1174368,9,165.0397503376007
SJER,3,0.25,32621,8155.25,0,1.471118688583374
SJER,3,0.25,32621,8155.25,1,1.3603014945983887
SJER,3,0.25,32621,8155.25,2,1.377558708190918
SJER,3,0.25,32621,8155.25,3,1.3725612163543701
SJER,3,0.25,32621,8155.25,4,1.4555654525756836
SJER,3,0.25,32621,8155.25,5,1.4426298141479492
SJER,3,0.25,32621,8155.25,6,1.4183266162872314
SJER,3,0.25,32621,8155.25,7,1.4411165714263916
SJER,3,0.25,32621,8155.25,8,1.5681354999542236
SJER,3,0.25,32621,8155.25,9,1.4691779613494873
SJER,3,0.5,32621,16310.5,0,1.4775238037109375
SJER,3,0.5,32621,16310.5,1,1.3200206756591797
SJER,3,0.5,32621,16310.5,2,1.398651123046875
SJER,3,0.5,32621,16310.5,3,1.4378657341003418
SJER,3,0.5,32621,16310.5,4,1.468306541442871
SJER,3,0.5,32621,16310.5,5,1.5253949165344238
SJER,3,0.5,32621,16310.5,6,1.4446892738342285
SJER,3,0.5,32621,16310.5,7,1.453596591949463
SJER,3,0.5,32621,16310.5,8,1.4181029796600342
SJER,3,0.5,32621,16310.5,9,1.4103288650512695
SJER,3,1,32621,32621,0,2.6573071479797363
SJER,3,1,32621,32621,1,2.443270444869995
SJER,3,1,32621,32621,2,2.334174394607544
SJER,3,1,32621,32621,3,2.5427186489105225
SJER,3,1,32621,32621,4,2.5494024753570557
SJER,3,1,32621,32621,5,2.3865532875061035
SJER,3,1,32621,32621,6,2.351228952407837
SJER,3,1,32621,32621,7,2.76245379447937
SJER,3,1,32621,32621,8,2.605950117111206
SJER,3,1,32621,32621,9,2.501776933670044
SJER,3,2,32621,65242,0,3.76143217086792
SJER,3,2,32621,65242,1,3.5992777347564697
SJER,3,2,32621,65242,2,3.737151622772217
SJER,3,2,32621,65242,3,3.476707696914673
SJER,3,2,32621,65242,4,3.848747730255127
SJER,3,2,32621,65242,5,3.54231595993042
SJER,3,2,32621,65242,6,3.6175730228424072
SJER,3,2,32621,65242,7,3.478908061981201
SJER,3,2,32621,65242,8,3.415654182434082
SJER,3,2,32621,65242,9,3.4005849361419678
SJER,3,4,32621,130484,0,5.464756488800049
SJER,3,4,32621,130484,1,5.618717908859253
SJER,3,4,32621,130484,2,5.902299165725708
SJER,3,4,32621,130484,3,5.3432581424713135
SJER,3,4,32621,130484,4,5.773036003112793
SJER,3,4,32621,130484,5,5.753727197647095
SJER,3,4,32621,130484,6,5.600055932998657
SJER,3,4,32621,130484,7,5.831519603729248
SJER,3,4,32621,130484,8,5.823895215988159
SJER,3,4,32621,130484,9,5.648127794265747
SJER,5,0.25,11748,2937.0,0,0.38164663314819336
SJER,5,0.25,11748,2937.0,1,0.38188648223876953
SJER,5,0.25,11748,2937.0,2,0.4708068370819092
SJER,5,0.25,11748,2937.0,3,0.3806941509246826
SJER,5,0.25,11748,2937.0,4,0.38192200660705566
SJER,5,0.25,11748,2937.0,5,0.3624131679534912
SJER,5,0.25,11748,2937.0,6,0.3855774402618408
SJER,5,0.25,11748,2937.0,7,0.3966796398162842
SJER,5,0.25,11748,2937.0,8,0.3895695209503174
SJER,5,0.25,11748,2937.0,9,0.41408562660217285
SJER,5,0.5,11748,5874.0,0,0.8350300788879395
SJER,5,0.5,11748,5874.0,1,0.7170994281768799
SJER,5,0.5,11748,5874.0,2,0.5270724296569824
SJER,5,0.5,11748,5874.0,3,0.43924617767333984
SJER,5,0.5,11748,5874.0,4,0.40866756439208984
SJER,5,0.5,11748,5874.0,5,0.44795823097229004
SJER,5,0.5,11748,5874.0,6,0.3854973316192627
SJER,5,0.5,11748,5874.0,7,0.3590264320373535
SJER,5,0.5,11748,5874.0,8,0.3711836338043213
SJER,5,0.5,11748,5874.0,9,0.37981224060058594
SJER,5,1,11748,11748,0,0.6494550704956055
SJER,5,1,11748,11748,1,0.6218676567077637
SJER,5,1,11748,11748,2,0.618497371673584
SJER,5,1,11748,11748,3,0.6720125675201416
SJER,5,1,11748,11748,4,0.617027997970581
SJER,5,1,11748,11748,5,0.6811749935150146
SJER,5,1,11748,11748,6,0.7065560817718506
SJER,5,1,11748,11748,7,0.6129016876220703
SJER,5,1,11748,11748,8,0.6227362155914307
SJER,5,1,11748,11748,9,0.6251800060272217
SJER,5,2,11748,23496,0,0.8850159645080566
SJER,5,2,11748,23496,1,0.8436577320098877
SJER,5,2,11748,23496,2,0.880251407623291
SJER,5,2,11748,23496,3,0.826301097869873
SJER,5,2,11748,23496,4,0.8142738342285156
SJER,5,2,11748,23496,5,0.792050838470459
SJER,5,2,11748,23496,6,0.8847301006317139
SJER,5,2,11748,23496,7,0.8345274925231934
SJER,5,2,11748,23496,8,0.880462646484375
SJER,5,2,11748,23496,9,0.8413419723510742
SJER,5,4,11748,46992,0,1.2445156574249268
SJER,5,4,11748,46992,1,1.228501796722412
SJER,5,4,11748,46992,2,1.374762773513794
SJER,5,4,11748,46992,3,1.2495534420013428
SJER,5,4,11748,46992,4,1.265556812286377
SJER,5,4,11748,46992,5,1.3477153778076172
SJER,5,4,11748,46992,6,1.2064778804779053
SJER,5,4,11748,46992,7,1.2957432270050049
SJER,5,4,11748,46992,8,1.238452672958374
SJER,5,4,11748,46992,9,1.2044568061828613
SJER,10,0.25,2929,732.25,0,0.2665822505950928
SJER,10,0.25,2929,732.25,1,0.13493061065673828
SJER,10,0.25,2929,732.25,2,0.28539586067199707
SJER,10,0.25,2929,732.25,3,0.228240966796875
SJER,10,0.25,2929,732.25,4,0.18122410774230957
SJER,10,0.25,2929,732.25,5,0.15238356590270996
