,site_name,resolution,scalar,cells,particles,run_n,run_time,area_m2,area_km2,p_density,error,tri
75,SJER,3,1.0,32621,32621.0,5,2.3865532875061035,293589,0.293589,1.0,0.005536704748837326,0.028
76,SJER,3,1.0,32621,32621.0,6,2.351228952407837,293589,0.293589,1.0,0.005536704748837326,0.028
77,SJER,3,1.0,32621,32621.0,7,2.76245379447937,293589,0.293589,1.0,0.005536704748837326,0.028
78,SJER,3,1.0,32621,32621.0,8,2.605950117111206,293589,0.293589,1.0,0.005536704748837326,0.028
79,SJER,3,1.0,32621,32621.0,9,2.501776933670044,293589,0.293589,1.0,0.005536704748837326,0.028
80,SJER,3,2.0,32621,65242.0,0,3.76143217086792,293589,0.293589,2.0,0.0039150414733306335,0.028
81,SJER,3,2.0,32621,65242.0,1,3.5992777347564697,293589,0.293589,2.0,0.0039150414733306335,0.028
82,SJER,3,2.0,32621,65242.0,2,3.737151622772217,293589,0.293589,2.0,0.0039150414733306335,0.028
83,SJER,3,2.0,32621,65242.0,3,3.476707696914673,293589,0.293589,2.0,0.0039150414733306335,0.028
84,SJER,3,2.0,32621,65242.0,4,3.848747730255127,293589,0.293589,2.0,0.0039150414733306335,0.028
85,SJER,3,2.0,32621,65242.0,5,3.54231595993042,293589,0.293589,2.0,0.0039150414733306335,0.028
86,SJER,3,2.0,32621,65242.0,6,3.6175730228424072,293589,0.293589,2.0,0.0039150414733306335,0.028
87,SJER,3,2.0,32621,65242.0,7,3.478908061981201,293589,0.293589,2.0,0.0039150414733306335,0.028
88,SJER,3,2.0,32621,65242.0,8,3.415654182434082,293589,0.293589,2.0,0.0039150414733306335,0.028
89,SJER,3,2.0,32621,65242.0,9,3.400584936141968,293589,0.293589,2.0,0.0039150414733306335,0.028
90,SJER,3,4.0,32621,130484.0,0,5.464756488800049,293589,0.293589,4.0,0.002768352374418663,0.028
91,SJER,3,4.0,32621,130484.0,1,5.618717908859253,293589,0.293589,4.0,0.002768352374418663,0.028
92,SJER,3,4.0,32621,130484.0,2,5.902299165725708,293589,0.293589,4.0,0.002768352374418663,0.028
93,SJER,3,4.0,32621,130484.0,3,5.3432581424713135,293589,0.293589,4.0,0.002768352374418663,0.028
94,SJER,3,4.0,32621,130484.0,4,5.773036003112793,293589,0.293589,4.0,0.002768352374418663,0.028
95,SJER,3,4.0,32621,130484.0,5,5.753727197647095,293589,0.293589,4.0,0.002768352374418663,0.028
96,SJER,3,4.0,32621,130484.0,6,5.600055932998657,293589,0.293589,4.0,0.002768352374418663,0.028
97,SJER,3,4.0,32621,130484.0,7,5.831519603729248,293589,0.293589,4.0,0.002768352374418663,0.028
98,SJER,3,4.0,32621,130484.0,8,5.823895215988159,293589,0.293589,4.0,0.002768352374418663,0.028
99,SJER,3,4.0,32621,130484.0,9,5.648127794265747,293589,0.293589,4.0,0.002768352374418663,0.028
100,SJER,5,0.25,11748,2937.0,0,0.3816466331481933,293700,0.2937,0.25,0.01845219462695162,0.028
101,SJER,5,0.25,11748,2937.0,1,0.3818864822387695,293700,0.2937,0.25,0.01845219462695162,0.028
102,SJER,5,0.25,11748,2937.0,2,0.4708068370819092,293700,0.2937,0.25,0.01845219462695162,0.028
