,init.walk,maxwalk,remaining walkers,duration (sec.),mean man,mean infil,Location,map_name,Cells,Min Depth (m),Max Depth (m),Seed,Resolution (m),scalar_str,Particle Scalar,Number of iterations (cells),Mean flow velocity (m/s),Time Step (s),Time at Step (s),Time at Step (min),Mean Source Rate (Rain Fall Excess) (m/s),Compute Time (s),particles,Particle Density
6,201570,50397,84884,7200,0.232658,0.0,clay-center,depth_1_025_3.070,468969,0.00038666639011353254,0.7981260418891907,3,1,025,0.25,4191,0.846637,0.295286,1237.543626,20.6257271,5.974431e-06,103.03342175483704,50397.25,0.25
7,201570,50397,63818,7200,0.232658,0.0,clay-center,depth_1_025_3.080,468969,0.00038666639011353254,0.8466529846191406,3,1,025,0.25,4790,0.846637,0.295286,1414.41994,23.573665666666667,5.974431e-06,103.03342175483704,50397.25,0.25
8,201570,50397,43017,7200,0.232658,0.0,clay-center,depth_1_025_3.090,468969,0.00038666639011353254,0.8801984190940857,3,1,025,0.25,5389,0.846637,0.295286,1591.2962539999999,26.52160423333333,5.974431e-06,103.03342175483704,50397.25,0.25
9,201570,50397,25740,7200,0.232658,0.0,clay-center,depth_1_025_3.100,468969,0.00038666639011353254,0.9013674259185791,3,1,025,0.25,5988,0.846637,0.295286,1768.172568,29.4695428,5.974431e-06,103.03342175483704,50397.25,0.25
10,201570,50397,14610,7200,0.232658,0.0,clay-center,depth_1_025_3.110,468969,0.00038666639011353254,0.9143481850624084,3,1,025,0.25,6587,0.846637,0.295286,1945.048882,32.41748136666667,5.974431e-06,103.03342175483704,50397.25,0.25
11,201570,50397,7769,7200,0.232658,0.0,clay-center,depth_1_025_3.120,468969,0.00038666639011353254,0.9215834736824036,3,1,025,0.25,7186,0.846637,0.295286,2121.925196,35.365419933333335,5.974431e-06,103.03342175483704,50397.25,0.25
0,201570,50397,191949,7200,0.232658,0.0,clay-center,depth_1_025_4.010,468969,0.00038666639011353254,0.460283100605011,4,1,025,0.25,598,0.846637,0.295286,176.581028,2.9430171333333335,5.974431e-06,103.14185404777528,50397.25,0.25
1,201570,50397,184524,7200,0.232658,0.0,clay-center,depth_1_025_4.020,468969,0.00038666639011353254,0.5305609107017517,4,1,025,0.25,1197,0.846637,0.295286,353.457342,5.8909557,5.974431e-06,103.14185404777528,50397.25,0.25
2,201570,50397,160285,7200,0.232658,0.0,clay-center,depth_1_025_4.030,468969,0.00038666639011353254,0.5848467946052551,4,1,025,0.25,1796,0.846637,0.295286,530.333656,8.838894266666667,5.974431e-06,103.14185404777528,50397.25,0.25
3,201570,50397,137688,7200,0.232658,0.0,clay-center,depth_1_025_4.040,468969,0.00038666639011353254,0.638809859752655,4,1,025,0.25,2395,0.846637,0.295286,707.20997,11.786832833333333,5.974431e-06,103.14185404777528,50397.25,0.25
