,n,null_cells,cells,min,max,range,mean,mean_of_abs,stddev,variance,coeff_var,sum,first_quartile,median,third_quartile,percentiles,run_time,particles,area_km2,resolution,scalar,minute,stat_type,ars,error,run_id,normalized_error,p_density
1,1519531,81705,1601236,6.676279044869196e-05,0.0062694288291231335,0.006202666038674441,0.0006362111307891578,0.0006362111307891578,0.0002838179315600212,8.055261827500886e-08,44.610651688531874,966.7425357791799,0.00045914077226721895,0.0005852046319598344,0.0007445085575734854,"[{'percentile': 90, 'value': 0.0009409202972460801}]",542.1365721702575,381147.75,1.524591,1,025,10,stddev,0.045138079486091325,0.001619769883409441,1_025,2.0,0.23803346289990981
2,1519531,81705,1601236,8.601249694941787e-05,0.007261843234739201,0.007175830737789783,0.0006431589510818722,0.0006431589510818722,0.00029505002947377524,8.705451989247564e-08,45.875133818392,977.2999640963884,0.0004615031364890605,0.000588771856822104,0.0007507051549958348,"[{'percentile': 90, 'value': 0.0009540664696646008}]",542.1365721702575,381147.75,1.524591,1,025,15,stddev,0.045138079486091325,0.001619769883409441,1_025,2.0,0.23803346289990981
3,1519531,81705,1601236,5.0652799124066747e-05,0.007504872845713359,0.0074542200465892924,0.0006485507377133566,0.0006485507377133566,0.0003035695221966081,9.215445480667693e-08,46.80736672460287,985.4929510283143,0.0004635185897138111,0.0005917743926467723,0.0007555066319189035,"[{'percentile': 90, 'value': 0.0009639410848971653}]",542.1365721702575,381147.75,1.524591,1,025,20,stddev,0.045138079486091325,0.001619769883409441,1_025,2.0,0.23803346289990981
4,1519531,81705,1601236,8.82315032153469e-05,0.011161729123821738,0.01107349762060639,0.0006532707635060489,0.0006532707635060489,0.0003107286703453454,9.655230657458634e-08,47.5650660803632,992.66517654111,0.0004653456515201734,0.0005944538709987567,0.000759692678206753,"[{'percentile': 90, 'value': 0.0009723197275962342}]",542.1365721702575,381147.75,1.524591,1,025,25,stddev,0.045138079486091325,0.001619769883409441,1_025,2.0,0.23803346289990981
5,1519531,81705,1601236,8.82315032153469e-05,0.009185692475077042,0.009097460971861695,0.0006572414415950751,0.0006572414415950751,0.00031569793759839897,9.966518780388262e-08,48.033784484469514,998.698744988406,0.0004669782036407299,0.0005966800301439356,0.0007637027078898572,"[{'percentile': 90, 'value': 0.0009795630971565759}]",542.1365721702575,381147.75,1.524591,1,025,30,stddev,0.045138079486091325,0.001619769883409441,1_025,2.0,0.23803346289990981
0,1519531,81705,1601236,0.00023815291933715343,0.0175563246011734,0.017318171681836247,0.0020831420331251767,0.0020831420331251767,0.0009011694854811693,8.121064415623955e-07,43.2601076235409,3165.398896736733,0.0014977743849158287,0.0019253473728895187,0.0024640122428536415,"[{'percentile': 90, 'value': 0.003109978511929512}]",542.1365721702575,381147.75,1.524591,1,025,05,range,0.045138079486091325,0.001619769883409441,1_025,2.0,0.23803346289990981
1,1519531,81705,1601236,0.00022113323211669922,0.024809107184410095,0.024587973952293396,0.0021204103374424144,0.0021204103374424144,0.0009739330933538568,9.485456703298125e-07,45.93134999184122,3222.0292404642096,0.0015069469809532166,0.0019409139640629292,0.00249614380300045,"[{'percentile': 90, 'value': 0.0031796954572200775}]",542.1365721702575,381147.75,1.524591,1,025,10,range,0.045138079486091325,0.001619769883409441,1_025,2.0,0.23803346289990981
2,1519531,81705,1601236,0.00023815291933715343,0.02549181878566742,0.025253665866330266,0.002143647504570434,0.002143647504570434,0.0010113530282838904,1.0228349478189957e-06,47.17907333773869,3257.338836267416,0.0015134001150727272,0.0019521219655871391,0.0025167332496494055,"[{'percentile': 90, 'value': 0.0032233744859695435}]",542.1365721702575,381147.75,1.524591,1,025,15,range,0.045138079486091325,0.001619769883409441,1_025,2.0,0.23803346289990981
3,1519531,81705,1601236,0.000138184055685997,0.02891044318675995,0.02877225913107395,0.0021616077846271725,0.0021616077846271725,0.0010398320981518552,1.0812507923468894e-06,48.10456853213092,3284.6300385823124,0.0015210132114589214,0.0019635537173599005,0.0025331233628094196,"[{'percentile': 90, 'value': 0.0032555696088820696}]",542.1365721702575,381147.75,1.524591,1,025,20,range,0.045138079486091325,0.001619769883409441,1_025,2.0,0.23803346289990981
4,1519531,81705,1601236,0.00023815291933715343,0.03790062665939331,0.03766247374005616,0.002177395415494869,0.002177395415494869,0.0010636217478799692,1.1312912225632407e-06,48.848350662951766,3308.6198331023334,0.0015291059389710426,0.001971406862139702,0.0025478480383753777,"[{'percentile': 90, 'value': 0.0032840967178344727}]",542.1365721702575,381147.75,1.524591,1,025,25,range,0.045138079486091325,0.001619769883409441,1_025,2.0,0.23803346289990981
