,site_name,resolution,scalar,cells,particles,run_n,run_time,area_m2,area_km2,p_density,error,tri
167,clay-center,10,0.5,15242,7621.0,7,0.735529899597168,1524200,1.5242,0.5,0.01145497166315571,0.028
168,clay-center,10,0.5,15242,7621.0,8,0.6241171360015869,1524200,1.5242,0.5,0.01145497166315571,0.028
169,clay-center,10,0.5,15242,7621.0,9,0.6890490055084229,1524200,1.5242,0.5,0.01145497166315571,0.028
170,clay-center,10,1.0,15242,15242.0,0,1.1549394130706787,1524200,1.5242,1.0,0.008099888141317147,0.028
171,clay-center,10,1.0,15242,15242.0,1,1.2582521438598633,1524200,1.5242,1.0,0.008099888141317147,0.028
172,clay-center,10,1.0,15242,15242.0,2,1.1215639114379885,1524200,1.5242,1.0,0.008099888141317147,0.028
173,clay-center,10,1.0,15242,15242.0,3,1.171600580215454,1524200,1.5242,1.0,0.008099888141317147,0.028
174,clay-center,10,1.0,15242,15242.0,4,1.145052433013916,1524200,1.5242,1.0,0.008099888141317147,0.028
175,clay-center,10,1.0,15242,15242.0,5,1.213123798370361,1524200,1.5242,1.0,0.008099888141317147,0.028
176,clay-center,10,1.0,15242,15242.0,6,1.2125160694122314,1524200,1.5242,1.0,0.008099888141317147,0.028
177,clay-center,10,1.0,15242,15242.0,7,1.1454579830169678,1524200,1.5242,1.0,0.008099888141317147,0.028
178,clay-center,10,1.0,15242,15242.0,8,1.1954150199890137,1524200,1.5242,1.0,0.008099888141317147,0.028
179,clay-center,10,1.0,15242,15242.0,9,1.112471342086792,1524200,1.5242,1.0,0.008099888141317147,0.028
180,clay-center,10,2.0,15242,30484.0,0,1.6435871124267578,1524200,1.5242,2.0,0.005727485831577855,0.028
181,clay-center,10,2.0,15242,30484.0,1,1.5667166709899902,1524200,1.5242,2.0,0.005727485831577855,0.028
182,clay-center,10,2.0,15242,30484.0,2,1.5725605487823486,1524200,1.5242,2.0,0.005727485831577855,0.028
183,clay-center,10,2.0,15242,30484.0,3,1.5823252201080322,1524200,1.5242,2.0,0.005727485831577855,0.028
184,clay-center,10,2.0,15242,30484.0,4,1.5873656272888184,1524200,1.5242,2.0,0.005727485831577855,0.028
185,clay-center,10,2.0,15242,30484.0,5,1.7143137454986572,1524200,1.5242,2.0,0.005727485831577855,0.028
186,clay-center,10,2.0,15242,30484.0,6,1.6124300956726074,1524200,1.5242,2.0,0.005727485831577855,0.028
